text;label;my_label
оформление договоров участия в долевом строительстве принимает поступающую на рассмотрение корреспонденцию принимает документы и личные заявления на подпись коммерческого директора подготавливает документы и материалы необходимые для работы коммерческого директора следит за своевременным рассмотрением и представлением конкретными исполнителями документов поступивших на исполнение проверяет правильность оформления подготовленных проектов документов передаваемых коммерческому директору на подпись обеспечивает качественное их редактирование организует проведение телефонных переговоров коммерческого директора записывает в его отсутствие полученную информацию и доводит до его сведения ее содержание передает и принимает информацию по приемнопереговорным устройствам а также телефонограммы своевременно доводит до его сведения информацию полученную по каналам связи по поручению коммерческого директора составляет письма запросы другие документы готовит ответы авторам писем ведет делопроизводство отдела продаж;0;0
осуществляет не менее раз в день получение и рассылку электронной почты;0;1
опрятный внешний вид;0;0
выполнение графика работы заданий и распоряжений руководства;0;0
оформление путевой документации;0;1
выполнение работ по обслуживанию транспортного средств;0;0
соблюдение требований локальных документов;0;0
управление процессом продаж;0;0
контроль товарооборота;0;1
организация и контроль работы персонала;0;0
ведение документооборота;0;1
ведение табеля учета рабочего времени сотрудников;0;1
организация и проведение инвентаризаций;0;0
составление отчетности для вышестоящего руководства;1;1
анализ продаж магазина;1;1
увеличение товарооборота;0;0
прим и оформление заявок выписка необходимых документов контроль оплаты и отгрузки товара работа с товарным запасом;1;1
расширение клиентской базы;0;0
работа с договорами;0;1
интеграция и синхронизация существующих itрешений между собой оптимизация приведение к единообразию серверных и клиентских itпродуктов;0;0
определение и реализация среднесрочной и долгосрочной стратегии технического развития;0;0
управление командой разработчиков;0;0
управление бэклогом itзадач увеличение эффективности разработки ;0;0
обеспечение sla проектов;0;0
бюджетирование ресурсов разработки инфраструктуры и архитектуры;0;0
организация приема размещения регистрации гостей и выезда в соответствии с установленной процедурой;0;0
выполнение расчетно кассовых операций;0;1
формирование и сдача установленной отчетности;0;1
прием входящих телефонных звонков;1;1
работа в программе epitome pms;0;0
подготовка расчетов объектов оценки;0;1
составление отчетов объектов оценки;1;1
консультирование крупных контрагентов по вопросам касающихся расчетов и оформления отчетов выполненных оценщиком;1;1
обработка первичной документации;0;1
работа с видеоконтролем сигнализациями;0;1
поддержание всей технике в надлежащей форме;0;0
проведение пожарного аудита промышленных объектов;0;0
проведение испытаний систем противопожарной защиты с разработкой программ испытаний актов и тд;0;0
рассмотрение проектной и рабочей документации;0;1
обработка входящих обращений и звонков;1;1
контроль качества работы с созданными сделками в отделе продаж;0;0
работа с накопленной базой клиентов;0;0
проведение опросов среди клиентов;0;1
методическое сопровождение основной деятельности библиотек внедрение инновационного опыта в деятельность библиотек;0;0
проектная и исследовательская работа;0;0
анализ деятельности межпоселенческих библиотек тмр ;1;1
участие в подготовке текущих квартальных и годовых статистических отчетов межпоселенческих библиотек тмр;0;1
подготовка статистических информационных аналитических материалов по различным направлениям деятельности межпоселенческих библиотек тмр;0;0
обобщение передаваемого опыта межпоселенческих библиотек тмр освещение их в сми;0;0
подготовка семинаров для библиотекарей участие в организации и проведении методических советов;0;0
составление текущих и перспективных планов работы а также выполнение другой работы в рамках своей компетенции;0;0
участие во всероссийских районных областных мероприятиях;0;0
исходящие звонки с целью повышения качества обслуживания;0;1
контроль соблюдения стандартов компании;0;0
фиксация результата исследований;0;1
подсчет и приведение статистических данных по звонкам;1;1
управление процессами контроля создание стандартов контроля;0;0
прим груза;0;0
расстановка груза по ячейкам;0;0
погрузоразгрузочные работы;0;0
поддержания чистоты склада;0;0
осуществляет методическую работу в образовательном учреждении;0;0
анализирует состояние учебнометодической и воспитательной работы в учреждениях и разрабатывает предложения по повышению ее эффективности;0;0
принимает участие в разработке методических и информационных материалов диагностике прогнозировании и планировании подготовки переподготовки и повышения квалификации руководителей и специалистов учреждений;0;0
оказывает помощь педагогическим работникам учреждений в определении содержания учебных программ форм методов и средств обучения в организации работы по научнометодическому обеспечению образовательной деятельности учреждений в разработке рабочих образовательных программ по дисциплинам и учебным курсам;0;0
организует разработку рецензирование и подготовку к утверждению учебнометодической документации и пособий по учебным дисциплинам типовых перечней оборудования дидактических материалов и тд;0;0
обобщает и принимает меры по распространению наиболее результативного опыта педагогических работников;0;0
организует и координирует работу методических объединений педагогических работников оказывает им консультативную и практическую помощь по соответствующим направлениям деятельности;0;0
участвует в работе организации повышения квалификации и переподготовки работников по соответствующим направлениям их деятельности по научнометодическому обеспечению содержания образования в разработке перспективных планов заказа учебников учебных пособий методических материалов;0;0
обобщает и распространяет информацию о передовых технологиях обучения и воспитания передовом отечественном и мировом опыте в сфере образования;0;0
организует и разрабатывает необходимую документацию по проведению конкурсов выставок олимпиад слетов соревнований и тд;0;0
вносит предложения по совершенствованию образовательного процесса в образовательном учреждении;0;0
участвует в деятельности педагогического и иных советов образовательного учреждения а также в деятельности методических объединений и других формах методической работы;0;0
осуществление руководство возглавляемым им производственным участком;0;0
обеспечение выполнения участком в установленные сроки производственных заданий по объему производства продукции качеству заданной номенклатуре повышение производительности труда снижение трудоемкости продукции на основе рациональной загрузки оборудования и использования его технических возможностей повышение коэффициента сменности работы оборудования экономное расходование сырья материалов топлива энергии и снижение издержек;0;0
определение расстановки рабочих осуществление формирования бригады координирует их деятельность;0;0
контроль соблюдения технологических процессов оперативно выявлять и устранять причины их нарушения;0;0
участвует в разработке новых и совершенствовании действующих технологических процессов и режимов производства а также производственных графиков;0;0
проверка качества выпускаемой продукции или выполняемых работ;0;0
осуществление мероприятий по предупреждению брака и повышению качества продукции;0;0
принятие участия в приемке законченных работ по реконструкции участка ремонту технологического оборудования механизации и автоматизации производственных процессов и ручных работ;0;0
установка производственных заданий бригадам и отдельным рабочим в соответствии с утвержденными производственными планами и графиками нормативные показатели по использованию оборудования сырья материалов инструмента топлива энергии;0;0
осуществление производственного инструктажа рабочих проведение мероприятий по выполнению правил охраны труда техники безопасности и производственной санитарии технической эксплуатации оборудования и инструмента а также контроль за их соблюдением;0;0
обеспечение правильности и своевременности оформления первичных документов по учету рабочего времени выработки простоев;1;0
контроль соблюдения рабочими правил охраны труда и техники безопасности производственной и трудовой дисциплины правил внутреннего трудового распорядка;0;0
отгрузка материалов и деталей обрабатываемых силами подрядных организаций для своевременного исполнения договоров на оказание услуг производственного характера;0;0
составление графиков производства продукции;0;1
контроль исполнения договорных обязательств на оказание услуг производственного характера;0;0
создание топографических планов масштабов ;0;0
администрирование корпоративной ip телефонии;0;0
сопровождение аудио и видео конференций;0;0
администрирование серверного оборудования;0;0
выполнение отделочных работ;0;0
продажа клубных карт;0;0
теплый прозвон активной базы;0;0
презентация услуг фитнесклуба потенциальным клиентам;0;0
ведение отчетности;1;1
наполнение соц сетей;0;1
наполнение сайта;0;1
наполнение блога;0;1
написание статей;0;1
подготовка контентплана;0;0
работа в личном кабинете заведение карточек ceo описание характеристики;0;0
работа с креативами для карточек составлять тз ;0;0
анализ эффективности работа с внутренней и внешней аналитикой мп ;0;1
проверка соответствия карточек товара текущим алгоритмам выдачи на мп;0;0
проведение работ по полировке автомобиля нанесение защитных покрытий на кузов;0;0
выполнение химчистки салона автомобиля с последующей консервацией защитными составами;0;0
подготовка кузова автомобиля к оклейке защитными плнками;0;0
детейлинг и мойка кузова подвески подкапотного пространства;0;0
контроль за техническим состоянием применяемого оборудования и количеством расходных материалов;0;0
соблюдение требования охраны труда;0;0
поддержание чистоты на рабочем месте;0;0
приготовление напитков;0;0
приготовление заготовок;0;0
обслуживание столов;0;0
поддержание чистоты в зале;0;0
своевременное и беспрекословное выполнение всех поставленных геодезистом задач в рамках своей компетенции;0;0
сопровождение смр;0;0
проведение геодезических исполнительных съмок совместно с геодезистом;0;0
проведение работ по созданию и развитию обоснования вынос в натуру и закрепление на местности проектных точек;0;0
топографическая съемка;0;0
камеральная обработка материалов полевых работ;0;0
оформление исполнительных схем чертежей и планов;0;0
изготовление металлоконструкций;0;0
умение пользоваться эл инструментом;0;0
встреча и размещение гостей в ресторане в утреннее время;0;0
прием звонков резервирование столов информирование по меню и услугам;0;0
работа с кассой;0;0
выполнение комплекса работ по кладке стен разного уровня сложности от открытой кирпичной кладки до заполнения каменой кладкой монолитных железобетонных каркасов в зависимости от объекта строительства;0;0
выполнение комплекса работ по кладке стен с расшивкой швов;0;0
выполнение комплекса работ по устройству блоков фбс разного сортамента;0;0
выполнение комплекса работ по устройству арматурных и керамзитобетонных поясов;0;0
выполнение комплекса работ по устройству плит перекрытия и лестничных маршей;0;0
выполнение комплекса работ по устройству анкерных соединений конструкций кладки;0;0
самоконтроль качества выполняемых работ;0;0
осуществлять управление лесовозом прибыть к месту загрузки лесовоза;0;0
производить погрузку древесины гидроманипулятором размещение и крепление древесины на лесовозной платформе прицепа сортиментовоза;0;0
контролировать процессы погрузки древесины размещение и крепление груза на прицепе сортиментовозе;0;0
приготовление напитков по ттк;0;0
поддержание чистоты рабочего места;0;0
соблюдение сроков хранения;0;0
составление заявок;1;1
приготовление блюд согласно технологическим картам;0;0
соблюдение санитарных норм и правил;0;0
поддержание порядка и чистоты на рабочем месте;0;0
развозка товара до клиента;0;0
подготовить индивидуальное изделие к примерке;0;0
после примерки самостоятельно довести изделие до готовности;0;0
знать всю последовательность операций и поузловую обработку швейного изделия;0;0
приготовление напитков;0;0
приготовление мягкого мороженого;0;0
общение с гостями кофебара помощь в выборе;0;0
поддержание чистоты на рабочем месте;0;0
работа с кассовым аппаратом;0;0
разъездной характер работы;0;0
работа с чертежами и тз;0;0
подбор металлорежущего инструмента согласно чертежа деталей;0;0
работа с уже созданной клиентской базой;0;0
поиск новых предприятий;0;0
правовая экспертиза и правовой анализ документов подготовка заключений предложений по решению в различных ситуациях;1;1
консультирование клиентов;1;1
правовое сопровождение договорной претензионной и исковой работы;0;0
в рамкам обязанностей электрогазосварщика;0;0
пошив и формирование ковриков из материала evа;0;0
пошив обивок сидений перетяжка рулевых колес;0;0
работа на швейном оборудовании;0;0
ведение первичного бухучета в полном объеме ;0;0
работа с банками работа с кассовыми документами;0;0
монтаж закладных на стадии фундамента;0;0
разводка сантехники;0;0
монтаж теплых полов;0;0
монтаж радиаторов;0;0
монтаж котельной;0;0
пусконаладочные работы;0;0
гарантийное обслуживание;0;0
добровольное медицинское страхование;0;0
компенсации и льготы в соответствии с коллективным договором ооо quotрнуватнефтегазquot;0;0
техническое обслуживание фонда водозаборных скважин;0;0
продажи автомобилей консультирование клиентов автосалона проведение тестдрайвов оформление документов куплипродажи;1;0
прием автомобилей на комиссионную продажу;0;0
оценка автомобилей на автовыкуп автообмен;0;0
ведение бухгалтерского и налогового учета по всем участкам;0;1
организация и ведение бухгалтерского налогового финансового учета на предприятии контроль формирования полной и достоверной информации о деятельности организации;0;1
оформление и учет первичной бухгалтерской документации с покупателями и заказчиками контроль за соблюдением порядка отражения первичной документации всех участком бухгалтерского учета в тч за начислением заработной платы;0;1
анализ дебиторской и кредиторской задолженности;0;1
взаимодействие с ифнс внебюджетными фондами статистикой банками и тд подготовка данных для формирования бухгалтерской налоговой и статистической отчетности;0;0
график перевахтовки;0;0
оформление пропусков на территорию объекта строительства ;0;0
формирование ежемесячной отчетности согласно купленных билетов;1;1
своевременное оформление заявок о потребности персонала на объектах строительства;1;1
ежемесячное формирование и актуализация графика мобилизациидемобилизации персонала перевахтовка;0;1
приобретение билетов ;0;0
бронирование гостиницы;0;0
другие обязанности согласно должностной инструкции;0;0
приготовления кальянов;0;0
прим заказа;0;0
помощь в работе официанту;0;0
развозка и выгрузка строительных материалов техники документов;0;0
прямое выполнение поручений руководителя;0;0
работа с посетителями;0;0
консультация клиентов по телефону в поликлинике;1;1
запись на прием;1;1
работа с кассой отчетность;1;1
оформление документации;0;1
предоставление информации об услугах клиники и действующих акциях;0;1
работа в программе на компьютере;0;0
поиск развитие и поддержание клиентской базы ;0;0
поддержание эффективных партнерских отношений с клиентами;0;0
выполнение плановых показателей по продажам;0;0
заключение договоровпоставок;0;0
контроль наличия товара в торговой точке;0;0
работа с дебиторской задолженностью;0;0
информационная административная и иная поддержка руководителя;0;0
постановка и распределение задач контроль исполнительской дисциплины итр гк ;0;0
подготовка отчетности по соблюдению сроков задач;0;0
организация мероприятий поездок встреч руководителя ведение и согласование рабочего графика;0;0
организация взаимодействия руководителя с руководителями подразделений подрядчиками партнерами;0;0
представление интересов руководителя в тч от имени гк в организациях мероприятиях;0;0
прочие задачи;0;0
анализ и контроль исполнения бизнеспланов и скользящих бюджетов компании в части нетарифной деятельности;0;1
анализ и контроль исполнения бизнеспланов и скользящих бюджетов компании в части целевой деятельности;0;1
формирование регистра по лизингу;0;0
подбор туров авиабилетов бронирование гостиниц помощь в изготовлении виз;1;0
работа с клиентской базой с соцсетями;0;1
выполнение замеров выезд на объекты;0;0
взаимодействие с заказчиком в процессе разработки проекта совместное заполнение технического задания;0;0
разработка концепции будущего интерьера;0;0
составление задания для d визуализатора;0;0
разработка концепций и стилевых решений по проектам;0;0
подбор и согласование чистовых отделочных материалов мебели и предметов декора согласование их с заказчиком;0;0
выполнение заданий ведущего дизайнера;0;0
предпродажная подготовка товара;0;0
поддержание чистоты и порядка в торговом зале;0;0
знание товара и грамотное консультирование покупателей;0;1
формирование и ведение базы постоянных клиентов;0;0
ведение социальных сетей;0;0
обеспечение выполнения плана продаж;0;0
выполнение работ по дефектовке сборке ремонту оборудования свп;0;0
выполнение пусконаладочных ремонтных работ по свп на объектах заказчика;0;0
сервисное сопровождение свп на объектах заказчика;0;0
производить каждые часа обход установки производства водорода технологического оборудования проверять состояние рабочих мест содержание и правильную эксплуатацию технологического оборудования коммуникаций арматуры приборов средств защиты и пожаротушения принимать меры по устранению выявленных недостатков;0;0
обслуживать технологическое оборудование установки переработки водорода в соответствии с производственными инструкциями правилами и другими нормативнотехническими документами закрепленными в перечне нормативнотехнической документации цеха;0;0
контролировать исправность кип установленных на вверенном ему технологическом оборудовании;0;0
производить пуск и остановку технологического оборудования и установки в целом при работе в штатном и аварийном режиме;0;0
подготавливать технологическое оборудование установки к ремонту и вывода из ремонта;0;0
осуществлять поддержание рабочих мест производственных площадей и территорий в надлежащем состоянии путем своевременной уборки устранения пропусков жидких и газообразных продуктов через неплотности в технологическом оборудовании и коммуникациях исключение накопления сырья и материалов удаление демонтируемых деталей технологического оборудования и трубопроводов;0;0
информировать оператора технологических установок принимающего смену о параметрах технологического режима обо всех замечаниях и отклонениях в работе установки о принятых мерах по их устранению о полученных заданиях и о ходе их выполнения о проводимых ремонтных работах на установке о состоянии технологического оборудования установки как действующего так и резервного;0;0
составление авансовых отчетов;0;1
ведение первичного бухгалтерского учета;0;1
учет имущества основных средств;0;1
сверка взаиморасчетов с покупателями и поставщиками;0;1
сбор и архивирование первичных документов;1;1
учет по осно;0;0
знание по учету расчета заработной платы;0;0
выезд к клиенту на объект по заявкам ;0;0
консультация по продукции компании;0;1
выполнение замеров расчет стоимости изделия;0;0
заключение договора с клиентом;0;0
массовый подбор персонала по рабочим специальностям в том числе итр на строительные объекты;0;0
оперативное и качественное закрытие поступающих заявок;0;0
контроль от поступления заявки до оформления сотрудника и прибытия его на объект заказ билетов сбор документации на оформление пропуска на объект строительства;0;0
ведение отчетности о комплектовании персоналом;1;1
открывать шлагбаум;0;0
работа с камерами;0;0
включать прожектора;0;0
работа с телефоном;0;1
минимальный опыт работы месяцев;0;0
официальное трудоустройство в соответствии с тк рф ;0;0
бессрочный трудовой договор;0;0
расширенный социальный пакет дмс;0;0
работа в офисе в центре города тюмень ;0;0
обратите внимание резюме не соответствующие указанным требованиям рассматриваться не будут;0;0
работы на монолите ;0;0
монтажные работы опалубки;0;0
общестроительные работы и вспомогательные работы;0;0
организация работы вверенного участка;0;0
первичная диагностика поломки ам;0;0
согласование стоимости ремонта и времени их исполнения;0;0
распределение работ по загруженности и профессионализму сотрудников автосервиса;0;0
контроль качества производимых работ и заполнения производственной документации;0;0
составление калькуляции по заказнарядам;0;0
техническая поддержка механиков в сложных ситуациях;0;0
контроль за соблюдением регламента производимых работ;0;0
материальнотехническое обеспечение сто;0;0
проведение инструктажей по тб;0;1
координация работы с другими подразделениями компании;0;0
подготовка зала к обслуживанию;0;0
обслуживание гостей согласно стандартам сервиса;0;0
создание атмосферы гостеприимства;0;0
четко выполнять поставленные руководством задачи;0;0
руководство производственнохозяйственной и финансовоэкономической деятельностью предприятия ;0;0
организация эффективной работы и результативного взаимодействия всех структурных подразделений предприятия;0;0
организация бизнеспланирования управление и контроль исполнения бюджета;0;0
оптимальное распределение ресурсов компании;0;0
управление эффективностью показателей бизнеса организация сбыта продукции предприятия активное развитие новых каналов продаж;0;0
управление ассортиментом и ценообразованием калькуляцией себестоимости продукции;0;0
разработка стратегии и планирование развития предприятия;0;0
постановка задач и планов работы подразделений предприятия контроль их выполнения;0;0
